index,title,description,difficulty,certificate_available,students,price,rating,reviews_count,source,course
data-science-ew/,Data Science от Проблемы до Решения,Учись работать на Python решая проекты в области Data Science. От анализа данных до построения рекомендательной системы,Начальный,True,22 студента,5390.0,"4,4",5,udemy,Обработка и анализ данных
stable-diffusion/,"Курс по нейросети ""Stable Diffusion""","""На этом курсе ты научишься использовать профессиональную нейросеть ""Stable Diffusion"" + ""FramePack""",Все уровни,True,83 студента,5390.0,"3,9",7,udemy,Обработка и анализ данных
ittensive-python-time-series/,Анализ временных рядов на Python,"Изучим регрессию, автокорреляция и рекуррентные нейросети для работы с временными рядами",Профессиональный,True,32 студента,5390.0,"4,0",3,udemy,Обработка и анализ данных
ittensive-python-regular-expressions/,Регулярные выражения в Python,"Шаблоны символов и позиций, квантификаторы и группы, re.match, finditer, split и sub",Средний,True,41 студент,5890.0,"3,7",10,udemy,Обработка и анализ данных
ittensive-python-machine-learning-classification/,Машинное обучение: классификация и ансамбли на Python,"Выигрываем соревнование Kaggle с kNN, SVM, логистической регрессией, случайным лесом, XGBoost, CatBoost и LightGBM",Профессиональный,True,70 студента,6190.0,"3,8",8,udemy,Обработка и анализ данных
google-data-studio-ru/,Глубокий погружение в аналитику с Google Data Studio,Глубокий погружение в аналитику с Google Data Studio: от начинающего до эксперта,Все уровни,True,193 студента,6090.0,"3,6",16,udemy,Обработка и анализ данных
ittensive-python-basic/,Базовый Python,Изучите с нуля самый востребованный язык программирования,Начальный,True,39 студента,5890.0,"3,9",6,udemy,Обработка и анализ данных
ittensive-python-reinforcement-learning/,Машинное обучение с подкреплением на Python,"Изучим взаимодействие среды и агенты, Q-обучение, Монте-Карло и Deep Q-Network",Профессиональный,True,61 студент,5390.0,"4,3",9,udemy,Обработка и анализ данных
data-science-python-3/,Data Science и Machine Learning на Python 3 с нуля,"Изучи Python 3 с нуля для работы с Data Science и и Machine Learning библиотеками - NumPy, Pandas, Matplotlib and more!",Все уровни,True,5 101 студент,5690.0,"4,5",926,udemy,Обработка и анализ данных
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Все уровни,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
ai-machinelearning-ru/,Искусственный интеллект и Машинное обучение + Основы Python,"Научитесь понимать технологии ИИ, Машинное обучение и Нейронные Сети, а также основы Программирования на Python",Все уровни,True,2 123 студента,6090.0,"4,5",481,udemy,Обработка и анализ данных
ittensive-machine-learning-introduction/,Введение в машинное обучение,"Задачи и процесс машинного обучения, работа с моделью и данными, линейные метрики и простые модели",Начальный,True,27 студента,6190.0,"3,6",4,udemy,Обработка и анализ данных
chatgpt-all/,Курс по ChatGPT от магистра University of Cambridge.,"ChatGPT: Курс для продуктологов, предпринимателей, менеджеров, маркетологов.",Все уровни,True,47 студента,1590.0,"3,9",9,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Все уровни,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
pyqt5-bi/,Машинное обучение на Python. Метод линейной регрессии,"Это курс для тех, кто хочет познакомиться с методами линейной регрессии.",Средний,True,87 студента,6190.0,"4,1",16,udemy,Обработка и анализ данных
ittensive-machine-vision-localization/,Машинное зрение: локализация объектов на Python,"Обработка изображений с помощью фильтров, градиентов, каскадов и нейросетей для выделения форм и областей",Профессиональный,True,61 студент,5390.0,"3,2",9,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Все уровни,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
nlp-natural-language-processing-with-python/,NLP - Natural Language Processing with Python,"Learn to use Machine Learning, Spacy, NLTK, SciKit-Learn, Deep Learning, and more to conduct Natural Language Processing",Средний,True,103 974 студента,9690.0,"4,5",19589,udemy,Обработка и анализ данных
data-science-and-machine-learning-bootcamp-with-r/,Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,Все уровни,True,99 554 студента,5890.0,"4,7",17707,udemy,Обработка и анализ данных
python-for-machine-learning-data-science-masterclass/,Python for Machine Learning & Data Science Masterclass,"Learn about Data Science and Machine Learning with Python! Including Numpy, Pandas, Matplotlib, Scikit-Learn and more!",Все уровни,True,125 467 студента,5390.0,"4,7",18227,udemy,Обработка и анализ данных
