index,title,description,difficulty,certificate_available,students,price,rating,reviews_count,source,course
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Все уровни,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
machine-learning-using-python-programming/,Machine Learning using Python Programming,Learn the core concepts of Machine Learning and its algorithms and how to implement them in Python 3,Все уровни,True,35 171 студент,5390.0,"4,5",416,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Все уровни,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Все уровни,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
machine-learning-basics-classification-models-in-r/,Logistic Regression in R Studio,Logistic regression in R Studio tutorial for beginners. You can do Predictive modeling using R Studio after this course.,Все уровни,True,101 700 студента,5690.0,"3,9",406,udemy,Обработка и анализ данных
text-summarization-natural-language-processing-python/,Natural Language Processing for Text Summarization,Understand the basic theory and implement three algorithms step by step in Python! Implementations from scratch!,Начальный,True,16 094 студента,5390.0,"4,5",407,udemy,Обработка и анализ данных
learn-langchain-build-12-llm-apps-using-openai-llama-2/,"LangChain: Build 26 LLM Apps with OpenAI, Llama & DeepSeek","Build Real World LLM powered applications with LangChain, OpenAI, Llama, DeepSeek. Create Web Apps with Streamlit.",Все уровни,True,3 036 студента,5390.0,"3,8",368,udemy,Обработка и анализ данных
xai-with-python/,Explainable Al (XAI) with Python,Simplified Way to Learn XAI,Начальный,True,3 641 студент,5390.0,"3,8",367,udemy,Обработка и анализ данных
a-complete-roadmap-to-become-a-successful-data-scientist/,Master in Data Science to become a Data Scientist,"Machine Learning, Artificial Intelligence,  AI ML using Python. Big Data Analysis and Analytics. Practice Assignments.",Все уровни,True,37 821 студент,5390.0,"4,3",361,udemy,Обработка и анализ данных
python-for-engineers-scientists-and-analysts/,The 10-Day Python Bootcamp for Engineers and Scientists 2025,"Bite-sized chunks of learning: practical coding skills for working with data, visualisation, modelling and simulation.",Начальный,True,9 027 студента,5390.0,"4,5",369,udemy,Обработка и анализ данных
artificial-intelligence-and-machine-learning-complete-guide/,Artificial Intelligence and Machine Learning: Complete Guide,Do you want to study AI and don't know where to start? You will learn everything you need to know in theory and practice,Все уровни,True,3 668 студента,5390.0,"4,7",368,udemy,Обработка и анализ данных
object-tracking-using-python-and-opencv/,Object Tracking using Python and OpenCV,Implement 12 different algorithms for tracking objects in videos and webcam!,Начальный,True,3 216 студента,5390.0,"4,5",370,udemy,Обработка и анализ данных
machine-learning-with-core-ml-2-and-swift/,"iOS Machine Learning with Core ML, Swift 6, and SwiftUI","Learn how to integrate machine learning into iOS apps. Hands-on Swift 6 coding using Core ML, Vision, CreateML and NLP.",Все уровни,True,2 509 студента,6090.0,"4,4",363,udemy,Обработка и анализ данных
data-science-python-3/,Data Science и Machine Learning на Python 3 с нуля,"Изучи Python 3 с нуля для работы с Data Science и и Machine Learning библиотеками - NumPy, Pandas, Matplotlib and more!",Все уровни,True,5 101 студент,5690.0,"4,5",926,udemy,Обработка и анализ данных
salesforce-crm-analytics-einstein-tableau-crm/,Salesforce CRM Analytics: Einstein & Tableau CRM,"Boost Salesforce CRM Results with Einstein & Tableau: Data Visualization, Analytics Techniques, and Best Practices",Начальный,True,2 634 студента,5390.0,"4,2",366,udemy,Обработка и анализ данных
suv-data-mxc/,Generate and visualize data in Python and MATLAB,"Learn how to simulate and visualize data for data science, statistics, and machine learning in MATLAB and Python",Все уровни,True,20 431 студент,5690.0,"4,6",372,udemy,Обработка и анализ данных
google-bard-the-ultimate-guide-master-generative-ai/,"Google Gemini AI Bootcamp: AI Studio, Workspace & Vertex AI","Google Gemini AI: Build Python Apps, Automate Google Workspace, Master AI Studio, Vertex AI, NotebookLM & ML Projects",Все уровни,True,2 580 студента,5390.0,"4,4",387,udemy,Обработка и анализ данных
ai-machinelearning-ru/,Искусственный интеллект и Машинное обучение + Основы Python,"Научитесь понимать технологии ИИ, Машинное обучение и Нейронные Сети, а также основы Программирования на Python",Все уровни,True,2 123 студента,6090.0,"4,5",481,udemy,Обработка и анализ данных
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Все уровни,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
one-week-of-data-science/,One Week of Data Science in Python - New 2025!,Master Data Science Fundamentals Quickly & Efficiently in one week! Course is Designed for Busy People,Начальный,True,4 314 студента,5390.0,"4,7",358,udemy,Обработка и анализ данных
object-detection-web-app-with-tensorflow-opencv-and-flask/,"Object Detection Web App with TensorFlow, OpenCV and Flask",Build an Object Detection Model from Scratch using Deep Learning and Transfer Learning,Все уровни,True,52 354 студента,5690.0,"3,1",372,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Все уровни,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
chatgpt-bing-chat-prompt-engineering-2023-marterclass-,ChatGPT + Bing (Copilot): Prompt Engineering Masterclass,"Combined Prompt Engineering AI Course for ChatGPT + Bing Chat (Copilot). Beginner to Advance. 1000+ prompts, Templates",Все уровни,True,19 858 студента,5390.0,"4,2",375,udemy,Обработка и анализ данных
bayesian-computational-analyses-with-r/,Bayesian Computational Analyses with R,Learn the concepts and practical side of using the Bayesian approach to estimate likely event outcomes.,Все уровни,True,4 128 студента,6290.0,"4,1",366,udemy,Обработка и анализ данных
machine-learning-basics-building-a-regression-model-in-r/,ML for Business Managers: Build Regression model in R Studio,Simple Regression & Multiple Regression| must-know for Machine Learning & Econometrics | Linear Regression in R studio,Все уровни,True,83 049 студента,6190.0,"4,5",364,udemy,Обработка и анализ данных
artificial-general-intelligence-agi-an-introductory-,Artificial General Intelligence AGI : An Introductory course,"Learn the basics of Artificial General Intelligence AGI with our course, and know the next steps to be in the AI race !",Все уровни,True,27 182 студента,5390.0,"4,3",362,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Все уровни,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
python-for-data-analytics/,Python for Data Analytics - Beginner to Advanced,Learn Python for Data Analytics. Learn how to analyze and visualize different data types and do projects with them.,Все уровни,True,22 398 студента,5390.0,"3,6",356,udemy,Обработка и анализ данных
linear-regression-and-logistic-regression-r-studio-starttech/,Linear Regression and Logistic Regression using R Studio,Linear Regression and Logistic Regression for beginners. Understand the difference between Regression & Classification,Начальный,True,62 245 студента,5690.0,"4,7",355,udemy,Обработка и анализ данных
statisticsinr/,Statistics in R - The R Language for Statistical Analysis,"Statistics made easy with the open source R language. Learn about Regression, Hypothesis tests, R Commander ...",Средний,True,3 461 студент,5890.0,"4,2",338,udemy,Обработка и анализ данных
data-science-python-3/,Data Science и Machine Learning на Python 3 с нуля,"Изучи Python 3 с нуля для работы с Data Science и и Machine Learning библиотеками - NumPy, Pandas, Matplotlib and more!",Начальный,True,5 101 студент,5690.0,"4,5",926,udemy,Обработка и анализ данных
data-science-with-python-certification-training/,Data Science with Python (beginner to expert),Start your career as Data Scientist from scratch. Learn Data Science with Python. Predict trends with advanced analytics,Все уровни,True,30 844 студента,5390.0,"4,1",348,udemy,Обработка и анализ данных
data-science-for-professionals/,Data Science for Professionals,It's time to leave spreadsheets behind...,Начальный,True,7 510 студента,5890.0,"4,6",358,udemy,Обработка и анализ данных
core-data-science-and-machine-learning/,2023 CORE: Data Science and Machine Learning,A complete survey of all core skills required on the job,Все уровни,True,3 196 студента,5390.0,"4,6",348,udemy,Обработка и анализ данных
data-science-and-data-preparation-with-knime/,Data science and Data preparation with KNIME,KNIME - a powerful tool for data science and machine learning Data science with higher efficiency. KNIME data cleaning,Начальный,True,2 845 студента,5890.0,"4,6",351,udemy,Обработка и анализ данных
ai-machinelearning-ru/,Искусственный интеллект и Машинное обучение + Основы Python,"Научитесь понимать технологии ИИ, Машинное обучение и Нейронные Сети, а также основы Программирования на Python",Начальный,True,2 123 студента,6090.0,"4,5",481,udemy,Обработка и анализ данных
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Начальный,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Начальный,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
python-machine-learning/,Machine Learning with Python from Scratch,"Mastering Machine Learning Algorithms including Neural Networks with Numpy, Pandas, Matplotlib, Seaborn and Scikit-Learn",Начальный,True,4 800 студента,6190.0,"4,1",346,udemy,Обработка и анализ данных
tensorflow-2-practical-advanced/,TensorFlow 2.0 Practical Advanced,"Master Tensorflow 2.0, Google’s most powerful Machine Learning Library, with 5 advanced practical projects",Все уровни,True,5 447 студента,6390.0,"4,2",353,udemy,Обработка и анализ данных
mastering-mlops-from-model-development-to-deployment/,Introducing MLOps: From Model Development to Deployment (AI),"A Practical Guide to Building, Automating, and Scaling Machine Learning Pipelines with Modern Tools and Best Practices",Средний,True,23 814 студента,5390.0,"4,2",362,udemy,Обработка и анализ данных
practical-guide-to-ai-ml/,Practical Guide to AI & ML: Mastering Future Tech Skills,Artificial Intelligence & Machine Learning: Practical Training for Real-World Applications & Skills Development,Начальный,True,2 345 студента,5390.0,"4,5",354,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Начальный,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
complete-arcgis-pro-mastery-a-hands-on-practical-,"Complete ArcGIS Pro Mastery: A Hands-On, Practical Course",Mastering ArcGIS Pro: A Hands-On Journey Through Practical Applications,Начальный,True,1 544 студента,5390.0,"4,6",354,udemy,Обработка и анализ данных
data-engineerdata-scientist-power-bi-python-etlssis/,Data Engineer/Data Scientist  - Power BI/ Python/ ETL/SSIS,Hands-on Data  Interaction and Manipulation.,Начальный,True,33 754 студента,5390.0,"4,5",343,udemy,Обработка и анализ данных
machine-learning-a-beginners-basic-introduction/,Machine Learning : A Beginner's Basic Introduction,Learn Machine  Learning Basics with a Practical Example,Начальный,True,25 433 студента,5890.0,"4,1",358,udemy,Обработка и анализ данных
machine-learning-2020-complete-maths-for-machine-learning/,Machine Learning : Complete Maths for Machine Learning,"Learn Math for Machine Learning, Math for Data Science, Linear Algebra, Calculus, Vectors & Matrices, Probability & more",Начальный,True,1 580 студента,5690.0,"4,5",339,udemy,Обработка и анализ данных
intro-to-machine-learning-,"40 Real World Data Science, Machine Learning Projects 2025","Learn To Build & Deploy AI, ML, DS, Deep Learning, NLP Web Apps With Python Projects Course(Flask, Django, Heruko Cloud)",Все уровни,True,8 185 студента,5390.0,"4,3",347,udemy,Обработка и анализ данных
mastering-computer-vision-theory-projects-in-python/,Computer Vision in Python for Beginners (Theory & Projects),"Computer Vision-Become an ace of Computer Vision, Computer Vision for Apps using Python, OpenCV, TensorFlow, etc.",Все уровни,True,2 757 студента,5390.0,"4,4",321,udemy,Обработка и анализ данных
data-science-methods-and-techniques-2024/,Data Science Methods and Techniques [2025],Learn Data Science Methods and Techniques for Data Analysis and Machine Learning  [2025],Все уровни,True,3 043 студента,5390.0,"5,0",339,udemy,Обработка и анализ данных
cnn-for-computer-vision-with-keras-and-tensorflow-in-r/,Image Recognition for Beginners using CNN in R Studio,Deep Learning based Convolutional Neural Networks (CNN) for Image recognition using Keras and Tensorflow in R Studio,Все уровни,True,87 465 студента,6090.0,"4,6",324,udemy,Обработка и анализ данных
ai-python-development-megaclass-300-hands-on-projects/,AI & Python Development Megaclass - 300+ Hands-on Projects,"Training in Machine Learning, Deep Learning, Data Science, Computer Vision, NLP, Chatbots, and AI-Powered Applications",Начальный,True,24 082 студента,5390.0,"4,6",327,udemy,Обработка и анализ данных
ai-agents-for-everyone-and-artificial-intelligence-bootcamp/,AI Agents for Everyone & AI Bootcamp with 100 Hands-on Labs,"Learn to Build, Deploy, and Master AI Agents with Hands-On Projects and Practical Applications(AI)",Начальный,True,29 109 студента,5390.0,"4,1",330,udemy,Обработка и анализ данных
r-programming-training/,R Programming Complete Certification Training,"R concepts, coding examples. Data structure, loops, functions, packages, plots/charts, data/files, decision-making in R.",Все уровни,True,15 021 студент,6090.0,"4,0",321,udemy,Обработка и анализ данных
python-for-advanced-linear-regression-masterclass/,Python for Linear Regression in Machine Learning,"Linear and Non-Linear Regression, Lasso Ridge Regression, SHAP, LIME, Yellowbrick, Feature Selection | Outliers Removal",Все уровни,True,15 542 студента,5390.0,"4,5",329,udemy,Обработка и анализ данных
build-local-llm-applications-using-python-and-ollama/,Build local LLM applications using Python and Ollama,Learn to create LLM applications in your system using Ollama and LangChain in Python | Completely private and secure,Все уровни,True,10 968 студента,5390.0,"4,6",346,udemy,Обработка и анализ данных
data-science-python-3/,Data Science и Machine Learning на Python 3 с нуля,"Изучи Python 3 с нуля для работы с Data Science и и Machine Learning библиотеками - NumPy, Pandas, Matplotlib and more!",Все уровни,True,5 101 студент,5690.0,"4,5",926,udemy,Обработка и анализ данных
llmops-and-aiops-bootcamp-with-9-end-to-end-projects/,LLMOps And AIOps Bootcamp With 8 End To End Projects,"Jenkins CI/CD, Docker, K8s, AWS/GCP, Prometheus monitoring & vector DBs for production LLM deployment with real projects",Все уровни,True,5 997 студента,5390.0,"4,2",330,udemy,Обработка и анализ данных
generative-adversarial-networks-gans-complete-guide/,Generative Adversarial Networks (GANs): Complete Guide,Deep Learning and Computer Vision to implement projects using one of the most revolutionary technologies in the world!,Средний,True,3 925 студента,5390.0,"4,8",322,udemy,Обработка и анализ данных
deep-learning-for-object-detection-using-tensorflow-2/,Deep learning for object detection using Tensorflow 2,"Understand, train and evaluate Faster RCNN, SSD and YOLO v3 models using Tensorflow 2 and Google AI Platform",Средний,True,2 774 студента,5390.0,"4,5",319,udemy,Обработка и анализ данных
ai-machinelearning-ru/,Искусственный интеллект и Машинное обучение + Основы Python,"Научитесь понимать технологии ИИ, Машинное обучение и Нейронные Сети, а также основы Программирования на Python",Все уровни,True,2 123 студента,6090.0,"4,5",481,udemy,Обработка и анализ данных
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Все уровни,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
data-science-in-python-unsupervised-learning/,Python Data Science: Unsupervised Machine Learning,"Learn Python for data science & machine learning, and build unsupervised learning models w/ a top Python instructor!",Все уровни,True,3 527 студента,5390.0,"4,8",323,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Все уровни,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
anyword-ai-the-best-generative-artificial-intelligence-tool/,Anyword AI: The Best Generative Artificial Intelligence Tool,Unlock the Power of AI Content Creation with AnyWord – The Ultimate Solution for Your Marketing Needs!,Все уровни,True,28 389 студента,5390.0,"4,5",331,udemy,Обработка и анализ данных
ai-prompt-engineering/,AI Prompt Engineering and RAG for Software Engineers,Become more productive and use AI technologies more efficiently using Prompt Engineering. Future-proof your career now!,Все уровни,True,14 290 студента,5390.0,"4,5",322,udemy,Обработка и анализ данных
open-ais-generative-pre-trained-transformer-3-gpt3/,"ChatGPT: GPT-3, GPT-4 Turbo: Unleash the Power of LLM's",Your Gateway to AI-Powered Creativity and Innovation,Все уровни,True,23 734 студента,5390.0,"4,1",336,udemy,Обработка и анализ данных
monitoring_evaluation/,Monitoring and Evaluation (M&E) in Development Projects,"Become a Monitoring and Evaluation Specialist in 3 Hours. Project Management, M&E, PMP, LogFrame, Data Analysis",Все уровни,True,956 студента,5390.0,"3,9",336,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Все уровни,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
data-science-python-3/,Data Science и Machine Learning на Python 3 с нуля,"Изучи Python 3 с нуля для работы с Data Science и и Machine Learning библиотеками - NumPy, Pandas, Matplotlib and more!",Средний,True,5 101 студент,5690.0,"4,5",926,udemy,Обработка и анализ данных
bigquery-ml-,BigQuery ML - Machine Learning in Google BigQuery using SQL,"Create Machine Learning models in Google Cloud Big Query using standard SQL. Big query ML course for ML, Data engineers",Все уровни,True,3 728 студента,5390.0,"4,7",307,udemy,Обработка и анализ данных
practical-natural-language-processing-go-from-zero-to-hero/,Generative AI - Natural Language Processing Bootcamp 2025,"Generative AI Mastery with NLP LLM: Create Chatbots, RASA, ChatGPT, BERT, Transformers, Prompt Engineering Mastery",Все уровни,True,2 195 студента,5390.0,"4,3",314,udemy,Обработка и анализ данных
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Средний,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
ai-machinelearning-ru/,Искусственный интеллект и Машинное обучение + Основы Python,"Научитесь понимать технологии ИИ, Машинное обучение и Нейронные Сети, а также основы Программирования на Python",Средний,True,2 123 студента,6090.0,"4,5",481,udemy,Обработка и анализ данных
the-complete-healthcare-artificial-intelligence-course-2021/,The Complete Healthcare Artificial Intelligence Course 2024,"Creating powerful AI model for Real-World Healthcare applications with Data Science, Machine Learning and Deep Learning",Все уровни,True,2 344 студента,5390.0,"3,8",316,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Средний,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
complete-ios-machine-learning-masterclass/,Complete iOS Machine Learning Masterclass,The most comprehensive course on Machine Learning for iOS development. Master building smart apps iOS Swift 4,Начальный,True,16 846 студента,5890.0,"4,3",306,udemy,Обработка и анализ данных
7-days-of-hands-on-ai-development-bootcamp/,7 Days of Hands-On AI Development Bootcamp and Certification,From Zero to AI: A Beginner's Guide to Building and Deploying AI Projects(AI),Начальный,True,36 984 студента,5390.0,"4,3",313,udemy,Обработка и анализ данных
from-0-to-1-tensorflow-for-deep-learning/,TensorFlow and the Google Cloud ML Engine for Deep Learning,"CNNs, RNNs and other neural networks for unsupervised and supervised deep learning",Начальный,True,4 169 студента,6190.0,"3,9",306,udemy,Обработка и анализ данных
neural-networks-for-stock-price-prediction-and-sentiment/,neural networks for sentiment and stock price prediction,How to predict stock prices with neural networks and sentiment with neural networks. Machine learning hands on data scie,Начальный,True,1 855 студента,6090.0,"4,2",308,udemy,Обработка и анализ данных
data-science-mastery-2025-excel-python-tableau/,"Data Science Mastery 2025: Excel, Python & Tableau","A beginner-friendly data science course covering Excel, Python, Tableau, and statistics with real-world projects.",Все уровни,True,23 187 студента,5390.0,"4,7",313,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Средний,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
decision-tree-theory-application-and-modeling-using-r/,"Decision Tree - Theory (Math), Application & Modeling with R",Analytics/ Supervised Machine Learning/ Data Science: CHAID / CART / Random Forest etc. workout (Python demo at the end),Все уровни,True,2 407 студента,5690.0,"4,3",305,udemy,Обработка и анализ данных
deep-learning-web-app-project-number-plate-detection-ocr/,YOLO: Automatic License Plate Detection & Extract text App,"Learn to Develop License Plate Object Detection, OCR and Create Web App Project using Deep Learning, TensorFlow 2, Flask",Все уровни,True,2 733 студента,5390.0,"4,4",310,udemy,Обработка и анализ данных
master-pandas-for-data-handling/,Master Pandas for Data Handling [2025],Learn to Master the worlds most powerful software for Advanced Data Handling,Средний,True,2 201 студент,5390.0,"4,9",321,udemy,Обработка и анализ данных
mastering-dax-for-advanced-powerbi-reporting/,Power BI - Mastering DAX for Power BI,Demystifying DAX for Advanced Power BI Reporting,Все уровни,True,4 386 студента,6190.0,"4,2",305,udemy,Обработка и анализ данных
artificial-intelligence-for-simple-games/,Artificial Intelligence for Simple Games,Learn how to use powerful Deep Reinforcement Learning and Artificial Intelligence tools on examples of AI simple games!,Начальный,True,3 077 студента,6190.0,"4,7",308,udemy,Обработка и анализ данных
data-science-projects-3/,"Data Science Projects: Data Analysis, ML, and Deployment",Hands-On Data Science Projects: Streamlit & FastAPI for Real-World ML Model Deployment and Visualization,Начальный,True,15 075 студента,5390.0,"4,4",317,udemy,Обработка и анализ данных
master-in-artificial-intelligence-ai/,Master in Artificial Intelligence (AI) Engineering,"Develop machine learning and deep learning models to become a AI Engineer using Data Science, LLM, ai agents, agentic ai",Все уровни,True,30 444 студента,5390.0,"4,5",307,udemy,Обработка и анализ данных
computer-vision-ocr-using-python/,Computer Vision : OCR using Python - GenAI with LLM & RAG,"Become a Computer Vision Expert & Learn OCR with Tesseract, OpenCV, Deep Learning, GenAI, LLMs, & RAG",Все уровни,True,1 361 студент,5390.0,"4,4",288,udemy,Обработка и анализ данных
llm-fine-tune/,LLM - Fine tune with custom data,"Learn how to fine tune GPT 3.5 Turbo models using OpenAI, Gradient platforms with your own datasets",Начальный,True,2 524 студента,5390.0,"4,6",314,udemy,Обработка и анализ данных
modern-data-analytics-masterclass/,Modern Data Analysis Masterclass in Pandas and Python,"Build your Data Analysis and Visualization skills with Python’s Pandas, Numpy, Matplotlib and Seaborn Libraries",Все уровни,True,3 122 студента,5390.0,"4,5",292,udemy,Обработка и анализ данных
deep-reinforcement-learning-in-pytorch/,Advanced AI: Deep Reinforcement Learning in PyTorch (v2),"Build Artificial Intelligence (AI) agents using Reinforcement Learning in PyTorch: DQN, A2C, Policy Gradients, +More!",Профессиональный,True,2 348 студента,5390.0,"4,7",302,udemy,Обработка и анализ данных
applied-machine-learning-in-r/,Applied Machine Learning in R,Get the essential machine learning skills and use them in real life situations,Все уровни,True,24 238 студента,6290.0,"4,6",294,udemy,Обработка и анализ данных
dl-guided-project-image-classification-with-cnn-on-cifar-10/,Deep Learning Python Project: CNN based Image Classification,Master Image Classification with CNN on CIFAR-10 dataset: A Deep Learning Project for Beginners using Python,Средний,True,25 502 студента,5390.0,"4,1",291,udemy,Обработка и анализ данных
python-bootcamp-for-data-science-2021-numpy-pandas-seaborn/,2022 Python Bootcamp for Data Science Numpy Pandas & Seaborn,"With Exercises : Learn to use NumPy, Pandas, Seaborn , Matplotlib  for Data Manipulation and Exploration with Python",Все уровни,True,39 432 студента,5390.0,"4,2",286,udemy,Обработка и анализ данных
computervision-deeplearning-with-python/,Modern Computer Vision & Deep Learning with Python & PyTorch,"Computer Vision with Python using Deep Learning for Classification, Instance and Semantic Segmentation, Object Detection",Все уровни,True,2 035 студента,5390.0,"4,4",290,udemy,Обработка и анализ данных
data-science-python-3/,Data Science и Machine Learning на Python 3 с нуля,"Изучи Python 3 с нуля для работы с Data Science и и Machine Learning библиотеками - NumPy, Pandas, Matplotlib and more!",Все уровни,True,5 101 студент,5690.0,"4,5",926,udemy,Обработка и анализ данных
ai-machinelearning-ru/,Искусственный интеллект и Машинное обучение + Основы Python,"Научитесь понимать технологии ИИ, Машинное обучение и Нейронные Сети, а также основы Программирования на Python",Все уровни,True,2 123 студента,6090.0,"4,5",481,udemy,Обработка и анализ данных
deepseek-r1-build-app-and-website-gen-ai-llm/,"DeepSeek Course: Learn DeepSeek R1, Build Apps, GenAi, LLM","Become a DeepSeek Master: Create AI Apps, Visualizations & analyze data, automate tasks with DeepSeek R1, ChatGPT",Все уровни,True,1 571 студент,5390.0,"4,8",283,udemy,Обработка и анализ данных
data-analytics-and-artificial-intelligence-for-beginners/,Data Analytics and Artificial Intelligence for Beginners,"Learn the basic concepts of data analytics, AI, business intelligence, big data, machine learning, and deep learning.",Начальный,True,1 444 студента,5390.0,"4,1",295,udemy,Обработка и анализ данных
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Все уровни,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
kubeflow-bootcamp/,KubeFlow Bootcamp,Learn how to use Kubeflow for Machine Learning at scale on Google Cloud!,Все уровни,True,2 764 студента,5390.0,"3,7",300,udemy,Обработка и анализ данных
excel-files-with-python/,Excel files with Python,Use Excel spreadsheets with Python,Средний,True,39 873 студента,5390.0,"4,5",287,udemy,Обработка и анализ данных
deploy-serverless-machine-learning-models-to-aws-lambda/,Deploy Serverless Machine Learning Models to AWS Lambda,Use Serverless Framework for fast deployment of different ML models to scalable and cost-effective AWS Lambda service.,Начальный,True,2 598 студента,5890.0,"4,0",292,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Все уровни,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
deep-learning-masterclass/,Deep Learning Mastery,Learn about Complete Life Cycle of a Deep Learning Project. Implement different Neural networks using Tensorflow.,Все уровни,True,39 838 студента,5390.0,"4,3",299,udemy,Обработка и анализ данных
tensorflow-bootcamp-for-data-science-in-python/,Tensorflow Deep Learning - Data Science in Python,Tensorflow Deep Learning Python : Tensorflow Neural Network Training : Tensorflow Models - Android Java : Tensorflow C#,Все уровни,True,3 456 студента,6090.0,"4,5",302,udemy,Обработка и анализ данных
the-big-data-developer-,"Mastering Big Data: Spark, Scala, Kafka, Hadoop,Hive & More","Complete Hands-On Developer Guide to Modern Big Data Tools like Hadoop, Hive, Spark, Scala, Kafka, NIFI, HBase and more",Все уровни,True,2 404 студента,5390.0,"4,5",286,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Все уровни,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
chatgpt-for-data-science-and-machine-learning/,ChatGPT for Data Science and Machine Learning,Learn to build Data Science and Machine Learning Projects by Leveraging the Power of ChatGPT.,Все уровни,True,37 690 студента,5390.0,"4,2",293,udemy,Обработка и анализ данных
